scenario_id,split,scenario_variant,frame_index,image_path,label_path,image_sha256,person_labels,vehicle_labels,original_training_png_sha256
train_v01_clear_high,train,1,1,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\images\train\train_v01_clear_high__frame_0001.jpg,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\labels\train\train_v01_clear_high__frame_0001.txt,B3A020403A0F12E9E35B89A69081E47247A3AFF7C8E5AB87D0B94906787C373B,2,0,2C6B8F2FF01E4636CD778437DFC512C0968DEC016CDC014EEF95270E2D10B71C
train_v01_clear_high,train,1,4,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\images\train\train_v01_clear_high__frame_0004.jpg,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\labels\train\train_v01_clear_high__frame_0004.txt,B0D105385B124A756602CC2CE8818ADA1D52B2D7EFCDBF167E7F3B63EA3DB472,2,0,39E54BF29488E3477DCCD2A9B18827232262E3D7A4D746AEBBF827783AC6BBCF
train_v01_clear_high,train,1,7,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\images\train\train_v01_clear_high__frame_0007.jpg,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\labels\train\train_v01_clear_high__frame_0007.txt,842125252CCDAA0921F569DF873BCC31015878C218B28FC65325CEF535EB0468,2,0,5A6D61AAD28221CF336AF2E0CE22B76FB6550C59CFDE5980F9ECA2F2ACF7C953
train_v01_clear_high,train,1,10,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\images\train\train_v01_clear_high__frame_0010.jpg,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\labels\train\train_v01_clear_high__frame_0010.txt,B241935A8A917AB8BBACF18A09327DF5E36DBFD580204AED93C9A4EA68E24FDD,2,0,F5A135FABE84C105DEB5DC88DD3155398D8C6D57F97A40A8C7FBB05DEECBDA97
train_v01_clear_high,train,1,13,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\images\train\train_v01_clear_high__frame_0013.jpg,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\labels\train\train_v01_clear_high__frame_0013.txt,A457E88C02F0A736AD9BD67E848C98197A8997295F96F726E5802E22729E87E5,2,0,1091E06B66F888C04C84BEF65A00D709ED48B42EFA3C11FD01B436EFED478C67
train_v01_clear_high,train,1,16,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\images\train\train_v01_clear_high__frame_0016.jpg,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\labels\train\train_v01_clear_high__frame_0016.txt,F56968E45C598C78A872C53CD87AFFBBCF12BC57BDFB15C4A798DB260390C684,2,0,51C457EEC806424D5F26CB0ACD75DC1FE6688C55A844428D638DB6ACBAF6B8A1
train_v01_clear_high,train,1,19,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\images\train\train_v01_clear_high__frame_0019.jpg,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\labels\train\train_v01_clear_high__frame_0019.txt,CF34BBC0038E49ABEA929F518410B3FD3977918238D3B0BE1A0E5E94C9B931ED,2,0,044DA21AD4B0E1B5F02652D4822CC7F5D07C7345C19E39B0457DEED969D700ED
train_v01_clear_high,train,1,22,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\images\train\train_v01_clear_high__frame_0022.jpg,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\labels\train\train_v01_clear_high__frame_0022.txt,9F0D10FBE5FECAB57C7C7EED29463F25709DDD23BF1339CCEA7B51FAC1A4EEE8,2,0,8D454D2A87D36A476E8567797FC8B5028259831F5CED42C80586D3188551ABFE
train_v01_clear_high,train,1,25,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\images\train\train_v01_clear_high__frame_0025.jpg,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\labels\train\train_v01_clear_high__frame_0025.txt,80C80556382C4D717153542B0DEEC36C4F6CC50D58C51E43342BB4315F3C3E5C,2,0,D1B02F460F3446CF897AF9947050AE46A434E6BC5AF4C55DA38863B2D69E7B10
train_v01_clear_high,train,1,28,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\images\train\train_v01_clear_high__frame_0028.jpg,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\dataset\labels\train\train_v01_clear_high__frame_0028.txt,7CADBDCA80AB47984206C2D43B189B97E3B745F80521614BC2E390E0E788EE9E,2,0,DAE6302CCDF41211C9B898C34CBA0DCD37BB399943286D7068E9B1892E795EB5
