scenario_id,frame_index,image_path,image_sha256,label_sha256,frame_sha256,person_gt,vehicle_gt
S4,1,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0001.png,52C7147DC1B1C4156A08785EADA3DE4526D726BB704874FDFF82937A0078EF68,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,CDC06AAF04601FC6D62562EC5400D2FE560692B3F4C84A5FB6222A447C5479F2,0,0
S4,2,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0002.png,BECCE68E412A33D70720C399B706017E3A542FF545DEE09BAACD8302076C3D96,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,DB9CE2F6E957AFCA40FFA7541906AA9BBD140CA4E5CED384BBA1A0A68A1EAAD8,0,0
S4,3,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0003.png,750362C29C8FD99DD3E24A273337E0F223A8CD927A90AA0F8E15C3655CA3E0D9,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,A218470B17CEEF296A44D7F0364D5AC76B758D043FE15B031C38A90D784D4425,0,0
S4,4,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0004.png,C09ED5A6A2FA1C2068C5E0948F5C8C6EC026F69FA123C071C6CBED92012E6E34,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,DE5D13A7E646B8D5A25A522961F43ABF05CFD3024C4EF690E2B91726081DA31E,0,0
S4,5,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0005.png,053B2E96F6ACBB2A3068EB652E0FA3462874D92B5A0D6A3A573A0094DFE04113,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,20BB5DC3AA1CD117ED83D2BE205FFCB75035ABE22AA126F28F6A3FD4CAAFE282,0,0
S4,6,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0006.png,D89566757B20733D2AE6C0B23C0006C4D23EA95C00EFA89E4B95D507ECF22C7C,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,5D859E35F225D7713CADBCDDA1420F7B042F1D614F1E4A86C0212B05026DDD8D,0,0
S4,7,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0007.png,93C7A6B201C4115AB9C6A009425F1222293FADCD47261F3C616EDF2CAAB232FE,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,7DFDD297E37B19E07D5C338AAD885FB0CDA8232C9F0E6A23A2722635BB422CA2,0,0
S4,8,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0008.png,33FE7D5ABD6B2861BD8DD7C400B306806949D4B47E864CD607E04DFE10DFA93E,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,45F7738C0D02257464C71668ACD7A2464F297E35D22219A78D7E8C0DEFE30578,0,0
S4,9,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0009.png,EEE136F1726B757F51BE9AB0CBF895AB094988EB0790B57F9F0B564000A9F5C4,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,6637B21302055F68E726AD626886A24469E0E36EF205242B1DD02ED18519DD8A,0,0
S4,10,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0010.png,CC2BE1A69ACAC936CD4273313A622A3FDE07A43D7A10D893217825A18D204379,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,00C0B42E21714F7891E03A5B791FF17CDD740F9BF7EFF50B42BB2A9CDFFF3D49,0,0
S4,11,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0011.png,A3FD342E31510BEB7EA1EC0D36DCEC989ADB0889A276C4D130B2A0832EF1E704,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,6F2D05983A5ADEF5442741C6934246225A5F27268157A95D37E8B72EE00AB9D3,0,0
S4,12,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0012.png,258918D956395800986A0EFE92F61F1C60FD1F133AC4EF0C11F6E29889BF1576,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,9BCDB30ECC5BDA05327D09CB35750FC7B31E3942550D1163692FE236399D23AE,0,0
S4,13,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0013.png,D0F9451F10033698AFEA46B0B65470F707EF551C49161D81A28A3ED82F23506D,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,F3AB1FC29FD475D60F88D39F02E471546BEC62E1D29136FCEE75A65588153685,0,0
S4,14,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0014.png,76F99A5DB5FF9186E6512FAE95F8A8A2C672BDBD6650BDE654A99D4143C99C8F,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,C24239E70E42377D9F8CBB732D4A0F081F874F6907EA9E163FC8F77CB5D79EAA,0,0
S4,15,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0015.png,8823ECF22AF9D4A847034909EE7808B7FDB1CCEA418C7694A6F642DB20F90F59,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3253B093ECE78567F81121BB1682691510EA36301B0C0FB51230C9C22F51757E,0,0
S4,16,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0016.png,213A7728983B08790E22712B2609FB08AA380680DA261DB5516A6AFF0D501166,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,E4079D75B33D4C4EBE1A44CFAA19A1E3E7914872494BDEAF73951D2E1A7DCB3D,0,0
S4,17,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0017.png,9E10EE3DC36B326D1D7A1074CEC40EF5F6CBF7CAC4EE22890E9CDAD3D8923033,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,4C3DD1E5476B819CEB2A0495AD703F05EC8FECE815455FA62A17746E95001124,0,0
S4,18,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0018.png,C3DCDD6E17C55B8DE244D8F69EAA233C803336FC0729B1F8BD0F94026952624C,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1D32B094CCFFDA813285333BAFDBEFB0263E219D62C8D9ACBFB88871FA40EAC7,0,0
S4,19,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0019.png,4093C69517E5A67275F198CA7CD466F4D7FCD29FD60E0DB6BCC6FA9524957D8F,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,7F32B357D56A3BA6878004B95034F31CA2B16B0EAD6BFCC929DE5D2FE29EF845,0,0
S4,20,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v1\S4\initial_condition\frames\frame_0020.png,2C3CBDE5DC00A8067CC199884E7265F256E7D2843B1DA1CF7CA9192F88D5A7EB,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,C70B46D80308FD78A38A67042B664A72A6FABF3876FA9DB480DCC4227B8A3736,0,0
